,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
33,-537.67926,134.71306,-4.5327845,6.458971,-0.4160848,0.22235462,-9.362266,-10.341046,2.5101776,-8.062428,-8.07476,-6.999519,-2.1597471
34,-592.8064,107.08213,4.3769875,9.546607,0.42976412,3.5187593,4.2716546,-2.4439518,0.5899718,-4.034645,-0.28576282,-2.9267304,-1.1742548
35,-527.37335,108.0231,10.248007,5.3767977,10.827052,7.9082465,-2.9042437,-2.6431215,0.921862,-2.4243846,-2.29887,-2.2489226,-4.152369
36,-480.89755,86.53725,3.4100864,-10.515843,-0.12341942,-0.6410967,-13.353883,-13.665908,-6.6111126,-7.355633,-7.810216,-3.596083,-4.2706895
37,-507.5112,122.49696,-9.279888,-6.3396883,2.7445576,1.1393492,-14.171757,-12.027995,-2.8436637,-8.105313,-8.331164,-1.6920233,-2.0020401
38,-520.8087,124.90806,-3.2759023,-4.7218266,3.7801194,3.066941,-10.631955,-10.042986,-1.5092887,-5.6591964,-5.976821,0.22679013,-1.3100144
39,-540.0381,133.72832,-7.575199,2.5247521,3.8452935,5.9315634,-9.735284,-11.419069,-0.9468811,-6.205703,-3.588178,-3.6040695,1.227281
40,-541.4328,132.80309,-6.055501,-2.6490617,-1.9182163,2.532727,-7.1778464,-8.929184,-1.5206109,-6.9851956,-2.4938655,-1.3630049,2.194799
41,-529.25165,114.740685,5.7374535,-4.7756295,3.7198281,2.4553006,-8.003143,-6.981792,-2.5716348,-5.2729573,-4.596189,-1.1947773,-2.6076074
42,-602.6044,97.886925,2.7623792,6.635572,-3.4407597,1.2165494,-2.2887392,-5.8154583,-2.9271374,-6.2119336,-1.7332865,-5.029902,-2.2158797
43,-515.0763,120.50315,-2.2583115,-3.906289,1.4453977,-1.5616997,-8.413809,-8.476863,-6.4723067,-5.9236474,-5.937209,-3.9900284,-2.5570621
44,-498.1269,110.79628,10.456643,-7.3211474,2.0158894,-0.8171465,-9.448451,-7.382014,-4.028885,-5.1198535,-4.0718656,-2.8900445,-4.3374343
45,-531.0702,120.479645,5.6529903,-8.472652,3.3918447,2.855709,-5.9083037,-7.5102205,-3.2031384,-4.1729703,-5.4856396,-4.1645727,-4.6860285
46,-540.09875,125.05536,-9.276571,4.1623683,1.1642673,2.1597803,-6.6268463,-8.598618,-0.6810555,-5.9594455,-2.264521,-1.898623,0.7255883
47,-537.4606,111.21171,-4.8857384,1.360386,4.580668,1.9065025,-3.68299,-3.924962,0.17887099,-2.3837373,-2.593896,-0.9024942,-2.295255
48,-530.7195,123.02651,-0.27493808,-2.5748236,0.6003809,-3.098226,-9.702515,-6.6738515,-2.1112723,-6.009277,-4.9261985,-2.5553422,-3.585425
49,-562.9526,110.2607,-3.3681657,4.3080797,-3.249835,0.30372745,-7.4973116,-9.129193,-0.42151612,-5.8901024,-3.5940964,-3.6657069,-4.8460326
50,-576.4165,115.557625,2.5481977,9.900554,1.2048229,0.0964337,-6.591072,-10.069929,-0.31515437,-5.6898937,-2.5426881,-3.116768,-2.1626189
51,-560.493,121.738304,-5.3946776,-1.4409314,-5.869011,2.2969973,-5.0291686,-10.858851,-1.0989687,-3.347031,-2.569288,-3.1889508,-0.27351496
52,-535.10657,129.09775,4.380212,-9.671549,-8.130034,-4.144444,-10.533902,-9.835449,-1.1322329,-5.4643044,-7.510304,-2.6500556,-2.0255413
53,-531.27,134.5577,3.6110094,-4.186441,-4.0097675,-0.66182166,-12.480445,-12.565278,-5.2550235,-10.877236,-8.77733,-2.6261148,-1.8219957
54,-519.57214,140.40889,-8.423588,1.2973322,0.37954634,-1.2497492,-16.471212,-14.781329,-0.8410003,-13.794305,-10.628784,-3.6825645,-2.6939037
55,-627.3227,135.67061,-17.054365,-9.38898,-4.725891,-2.8446727,-14.931893,-11.45206,-2.7535577,-1.9921262,-5.7584167,-6.9461107,-5.724302
56,-578.5115,120.34916,4.472088,-8.647907,4.0794563,1.039584,-8.583856,-5.4262624,-0.7255313,-4.097127,-3.9310095,-4.6405706,-4.7831006
57,-561.7297,135.70084,-21.100199,1.7704321,-6.883836,3.1584594,-11.928187,-6.272404,-7.8819394,-6.9041643,-5.2431607,-6.1908226,-7.136026
58,-544.61646,143.8532,-20.974474,1.5914212,-6.8531275,3.9324918,-14.915216,-8.054536,-7.733063,-10.51606,-7.9100666,-5.514955,-6.2680573
59,-548.3921,142.54243,-24.935492,3.083224,-1.6689051,5.094547,-13.926406,-8.263598,-7.3087287,-7.143906,-6.882063,-6.783631,-8.921892
60,-561.9162,141.54196,-12.394227,1.0282588,-7.2911105,1.7732608,-12.419398,-7.9204135,-6.9381824,-6.8183675,-4.190993,-5.6736975,-6.8012247
61,-553.34576,146.686,-15.652085,1.0358431,-4.0802307,5.1941533,-15.730588,-11.78134,-7.3911386,-6.722261,-5.945662,-4.9839616,-6.7566724
62,-558.09827,138.39317,-22.032795,2.0906248,-1.7347062,4.7213817,-13.063484,-9.707535,-9.407854,-8.94524,-7.715744,-5.377677,-4.932092
63,-567.0575,138.97038,-13.608401,2.7668533,-3.120761,6.6765285,-12.086284,-7.0757556,-9.097305,-9.694109,-6.8618135,-4.9854383,-5.412482
64,-563.06305,137.28781,-18.669708,5.3349247,-1.9609112,5.597528,-11.955553,-7.239607,-7.7695484,-7.793822,-6.880533,-5.2884007,-4.6316957
65,-530.93744,115.86968,3.7026925,-7.9635715,4.7964416,1.3024209,-8.247693,-8.614387,-7.1338654,-9.066121,-6.8023596,-5.1342907,-4.467755
66,-555.05054,140.707,-17.147333,0.8798106,-7.3146296,1.3115844,-15.462126,-7.431825,-6.7096505,-9.256841,-8.4121895,-6.5413227,-4.6099563
67,-537.30975,144.00912,-31.824265,-0.21357718,-6.325779,0.26902908,-12.470253,-7.935965,-7.6791797,-6.8363185,-7.380001,-9.275794,-7.3492727
68,-552.25085,137.83415,-16.594591,3.6132934,-7.7997313,5.2823057,-15.993578,-9.575475,-7.024895,-8.701062,-8.01881,-8.935675,-7.0664115
