,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
331,35.406403,0.1337395,32.146706,34.468857,38.98182,6.8351135,166.84167,197.3544,144.78546,302.19196,0.26538563,0.5190653,0.14011927,0.24325494,0.383684,0.24356474,2.7119966,1.6003085,1.6736927,0.9240516,0.04620988,1.935878,1.3236119,0.5056301,3.8004992,1.0638784,2.9360707,3.6861024,11.951889,0.9514909,616.0865,0.49721804,1151.7642,0.20772514,-73.95606,-1.2867185,1662.7169,0.19551155,-60.10551,-1.3953295,2662.0781,0.13871358,-61.45112,-1.3495716,-6.4171977,-0.8326039,14.564492,0.47401717,0.09918574,0.23065425,-0.016419826,-0.7060903,-7.1424184,14.242631,0.07175115,-0.012522081,3.551497,2.443992,0.28354165,0.2602522,0.11857142,0.17545278
332,35.07167,0.1117065,32.628506,34.58435,37.07785,4.4493446,74.010506,70.369125,98.98819,225.14517,0.27633262,0.72706765,0.092278205,0.22752987,0.4283397,0.33606148,4.298333,3.2154517,2.5857105,2.6991751,0.029036622,1.9180118,1.3322157,0.4778649,3.1224847,1.3145015,0.4945342,18.510859,10.956786,0.8934983,627.1313,0.4902521,1121.4473,0.2330335,-100.71926,-0.98851246,1682.7644,0.18994667,-83.57304,-1.1314474,2658.506,0.12197519,-84.3315,-1.1092358,-4.819256,-1.1221814,12.503201,0.58654,0.09363294,0.30014172,-0.018884381,-0.60778064,-7.7664027,14.677063,0.055293735,-0.010611594,2.4081633,1.8003274,0.32045454,0.2708149,0.26885712,0.35331714
333,36.053135,0.1467106,32.768158,35.07258,40.10719,7.339031,149.04907,183.2993,154.70096,241.01935,0.31622744,0.58558625,0.15522732,0.27323008,0.45356357,0.29833627,4.235927,2.3883653,2.8080761,1.7608815,0.037673045,1.9412432,1.2906871,0.5441878,3.9196033,1.2172228,2.1946638,4.978243,12.159812,0.79503703,662.06573,0.4782224,1121.9556,0.22511695,-77.87727,-1.2217355,1708.1583,0.18964969,-62.40103,-1.3794472,2718.8074,0.12610129,-64.66407,-1.3056444,-6.043836,-1.2871733,15.070805,0.6019816,0.09179534,0.29924455,-0.015847936,-0.80504006,-4.169674,11.927276,0.05986801,-0.009427858,3.119469,1.8830307,0.36541176,0.35657704,0.15225,0.20948736
334,36.469402,0.1287642,33.299103,37.007004,39.727753,6.42865,170.62018,173.14426,102.16863,101.1091,0.2565593,0.43307096,0.15183526,0.23591593,0.34801802,0.19618276,2.04835,1.1933368,1.5566369,1.144558,0.04607759,1.5547677,1.2998954,0.49976397,3.2437696,1.4607294,1.3093637,7.2979517,13.536128,0.6005026,609.1061,0.44601303,1233.9092,0.1676801,-89.75173,-1.0813899,1666.0955,0.18918762,-72.81027,-1.1877729,2650.9011,0.112839095,-74.46981,-1.1470674,-9.110286,-0.92748415,17.765665,0.6050695,0.093023375,0.31267837,-0.02060328,-0.55484915,-5.1404724,12.3557205,0.06899951,-0.0102784075,3.564728,2.54717,0.25185183,0.37840834,0.12346154,0.1968002
335,36.54226,0.1270767,31.945927,35.965977,41.321106,9.375179,192.97226,245.542,100.66028,126.21975,0.14247246,0.43430838,0.09251144,0.12939203,0.18982638,0.09731495,0.8450193,0.57109565,0.5500851,0.34558266,0.02569224,2.1112802,1.0232736,0.71836215,6.7280536,0.7125855,4.3027997,2.2316642,15.710319,0.47086594,567.89496,0.4007513,1254.0538,0.13255712,-147.39453,-0.55745953,1620.5718,0.12855706,-139.73338,-0.5926956,2633.377,0.09369029,-141.39378,-0.5694254,-15.872952,-0.8928901,26.572613,0.61060125,0.0683926,0.5350095,-0.015164923,-0.747472,-8.247993,16.781532,0.056579527,-0.013505153,2.0467837,1.4720315,0.21733333,0.276706,0.41125,0.41348934
336,35.20142,0.15924421,32.462795,33.858658,36.82514,4.3623466,250.45627,273.9373,129.44731,92.668526,0.24055248,0.6982898,0.07285727,0.20461142,0.3932823,0.32042503,2.944231,1.9450498,1.540366,0.9288447,0.039440747,1.9036384,1.2592006,0.5359334,4.0947876,1.054463,-1.6526157,-6.4097066,9.418957,1.1442754,643.52997,0.48117298,1119.0482,0.16738015,-106.35839,-0.9339592,1679.5652,0.1798397,-90.60621,-1.0632982,2681.9841,0.13289629,-92.33527,-1.0232129,-4.8843884,-1.1167946,14.777821,0.4638108,0.09605658,0.23332442,-0.014405438,-0.9625327,-8.322949,16.893394,0.059515763,-0.011098915,2.2776573,1.4161221,0.385,0.40028113,0.32541668,0.44947165
337,33.306458,0.15585852,30.68288,32.91003,35.477093,4.7942123,104.25639,69.72401,111.06591,89.80689,0.20062406,0.77585083,0.075802736,0.15083723,0.2941857,0.21838295,2.7241166,1.511416,1.4427204,1.0352317,0.03463701,1.7126245,1.305915,0.51598454,3.6827798,1.2048358,-3.3531256,-4.1938987,9.590513,1.397135,611.35077,0.46448153,1230.2063,0.17460683,-121.62406,-0.78847206,1618.8126,0.1729668,-109.36599,-0.8737464,2597.8838,0.1327142,-111.61932,-0.8340162,-6.8920717,-0.8362231,16.335915,0.46680158,0.09919068,0.2701003,-0.017017698,-0.6647541,-8.01807,15.925951,0.062471066,-0.01322401,2.0607755,1.9607843,0.22339284,0.2516395,0.25964913,0.3879951
338,33.179085,0.12857558,30.695335,32.524124,36.00067,5.305336,164.0244,192.2118,95.75821,125.67807,0.21668094,0.7077058,0.0849748,0.17775506,0.32644743,0.24147263,3.3806398,1.9402193,1.5753251,1.5334331,0.034849834,1.8430842,1.3620608,0.5472629,3.4614403,1.1973057,-2.8892374,-3.587348,9.532732,1.1940109,636.4416,0.5037904,1140.0901,0.20933089,-114.38275,-0.86055607,1687.2352,0.19512494,-101.13926,-0.9552962,2661.0806,0.1258058,-102.22069,-0.9329088,-6.1060987,-0.99821174,14.886571,0.532124,0.10308069,0.21634269,-0.020422556,-0.6853213,-8.012993,15.751259,0.06688388,-0.014121736,1.7559525,2.236136,0.20973332,0.22067155,0.22690141,0.30540016
339,32.925186,0.13080189,30.573269,31.87702,34.29454,3.7212715,89.791115,132.38885,132.37299,115.57804,0.19050567,0.68208915,0.08391276,0.15166056,0.27759254,0.19367978,2.9122477,2.0052283,1.5482324,1.2430315,0.05620457,2.341335,1.4718287,0.5117601,1.8938102,2.3570232,-1.7481321,-4.968654,8.487453,1.315551,684.37256,0.4972823,1109.2985,0.20302361,-131.56682,-0.7100669,1707.7642,0.2003973,-121.26811,-0.7761947,2697.966,0.13457052,-122.54321,-0.7539398,-4.2778583,-1.4000684,13.68383,0.51708084,0.0856579,0.32672864,-0.016136063,-0.72256464,-7.557146,15.234342,0.059099182,-0.013817217,2.7629235,2.417189,0.15259258,0.13541685,0.24846153,0.30700403
340,32.58787,0.15197971,30.02079,30.917837,34.77891,4.7581215,305.3118,424.52716,87.64224,86.194565,0.25642863,0.59370756,0.11792236,0.2269557,0.38001376,0.2620914,2.753565,1.9230694,1.500407,0.9993963,0.036057938,1.5481522,1.42584,0.50034887,1.9791803,1.916096,2.5118818,3.9452188,11.978033,1.0489564,599.97144,0.47240004,1196.4644,0.21053472,-83.15996,-1.1574289,1625.252,0.18529177,-73.833496,-1.230109,2621.58,0.12326132,-76.25642,-1.1665493,-4.804846,-1.3517087,14.195993,0.5240074,0.083374076,0.2843537,-0.013490851,-0.98167384,-8.41676,17.633232,0.05160189,-0.010845433,2.624672,2.4374177,0.25351351,0.24098015,0.14342856,0.18775275
