,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta1_13,mfcc_delta1_14,mfcc_delta1_15,mfcc_delta1_16
11,-554.2247,113.802475,8.86291,-6.49561,-5.8871684,-13.013392,-23.08238,-13.144893,-5.117926,-13.2515135,-11.149805,-4.993185,-7.0894938,-8.994462,-5.4002657,-3.2557206,-5.168114,-0.116833724,-0.066668354,0.04991618,0.024687741,0.012872104,0.03383682,0.020846438,0.022903845,0.006682197,0.0018483881,0.004650077,-0.007114026,-0.0056765564,-0.001967459,0.018710887,0.015132203,0.0022299073
12,-532.0805,122.161995,3.257676,-6.279842,-1.669791,-12.171198,-25.966242,-12.595783,-4.5284734,-15.418928,-11.059128,-3.8208084,-8.657719,-9.423771,-6.7308993,-6.216419,-4.9091716,-0.045068238,-0.084503196,-0.03122776,0.032544337,0.007166167,-0.01098076,-0.007917701,0.009726809,0.0064042923,0.00035230126,0.014167865,0.014381236,0.002920276,-0.006599921,-0.0060058096,-0.001337655,0.0030190093
13,-577.93,129.13718,5.6334233,-3.5861793,-8.452006,-9.771824,-23.126677,-12.401442,-5.121089,-16.239025,-11.310726,-4.6281486,-9.3684025,-10.038823,-5.4873953,-4.19133,-4.3584504,-0.26776356,-0.117413215,0.12018982,0.02612158,-0.0032488427,0.025048861,0.027384913,0.032900825,0.008674626,0.01580933,-0.0018122109,-0.03178514,-0.0017924114,0.0021499507,0.008916885,0.0065990193,-0.020316694
14,-580.5933,116.22137,7.03475,-7.5840755,-8.441549,-14.151672,-21.11725,-8.974139,-4.405136,-14.6991,-10.941506,-3.6703439,-6.458003,-9.47301,-6.19838,-4.6707845,-4.6975093,-0.040517207,-0.025717515,0.0089322245,0.0014296388,-0.006294321,0.0046764654,0.013474788,0.0052739475,-0.0016628881,0.009095382,0.011252017,-0.004332027,-0.009318894,-0.0005575295,0.0026500013,-0.0038863183,-0.011472118
15,-608.86426,139.97734,-2.0790923,-3.3234203,-3.3147511,-8.143027,-27.200611,-12.01665,-1.9609929,-15.83792,-11.021015,-2.5194488,-8.382824,-9.791206,-3.311884,-5.7282243,-4.4189906,0.030247707,0.007489619,-0.014800003,-0.0149116665,-0.017384917,0.0018446865,-0.0029531312,-0.004288915,0.0014013463,-0.003332887,-0.003958997,-0.0038985289,-0.0021913508,-0.007799291,-0.0039463914,-0.00020890821,-0.0049265
16,-566.7257,127.316864,-1.8085271,-7.001898,-1.4312575,-13.256862,-29.136923,-13.995047,-4.487078,-15.481168,-12.048746,-6.164549,-8.61782,-8.320825,-3.919024,-3.7551384,-5.0101523,-0.11271216,-0.062486555,0.025698528,0.014790197,0.010577377,0.012317875,0.0024266136,0.008676771,0.012037846,0.0015585346,0.0015461735,-0.010083771,-0.029985934,-0.010879145,0.0176071,0.00961944,-0.007182383
17,-570.0827,107.300285,15.358534,-9.439959,-11.375952,-13.493914,-18.476358,-9.8887615,-5.6472116,-12.069972,-9.138751,-3.3386598,-5.626012,-7.985735,-4.4702115,-2.584844,-3.8325653,-0.117785975,-0.06101343,0.030527605,0.009632123,-0.00965304,0.013357673,0.04966974,0.016184319,0.00046565087,0.010864133,0.0037195904,-0.0011480605,-0.005343967,-0.004676392,-0.008096764,-0.0027592927,-0.00236074
18,-598.81165,134.42453,12.717386,-8.94103,-9.825894,-11.770548,-16.873207,-9.722428,-6.93426,-14.616319,-10.54086,-3.4145427,-6.8499002,-7.3862853,-4.9628854,-4.9133587,-3.2301888,-0.08066101,-0.014204046,0.039298378,-0.0048122564,-0.0041396376,-0.013265434,-0.0016083855,0.008925202,-0.011403585,-0.013082383,-0.0013328834,0.0014170558,-0.0057102274,-0.008415125,-0.0124356365,-0.010114911,-0.00091881613
19,-576.92053,119.34558,6.0213847,6.154062,-2.0200448,2.6835012,-1.6271812,-5.889806,2.3660388,-2.4761357,-0.7615861,-1.0993606,0.44436204,-4.3093724,-1.6452692,-1.671051,-1.8522619,-0.0073837237,-0.0019911584,0.002698156,0.004417127,0.004960665,0.0052848384,0.004087664,0.0057112994,0.003577676,0.0023040324,-0.00080999994,-0.0017338269,-0.0024981769,-0.0021551463,-0.0008621303,-0.0022572025,-0.004314147
20,-548.2969,111.916534,2.0079792,4.3657084,2.7460787,1.3908426,-7.4754505,-7.1254454,-0.50412583,-1.5326301,-2.9757192,-0.8708516,-0.45618543,-3.296799,-2.5500045,-1.5028539,-0.16056679,-0.11712757,-0.07597122,-0.005759345,-0.032895796,-0.027517015,-0.0034752546,0.02353472,0.028004358,-0.0031707427,-0.00793616,-0.0054276325,-0.0038808112,0.022789707,0.007845255,-0.01072138,0.01638287,-0.003140896
