,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
3224,1.490785,-2.8626316,15.53037,0.07828944,-0.004680705,0.35504338,31.387512,-43.21014,-8.485505,-22.918882,36.36867,0.0,0.0,9.731257,-13.930672,4.111873,625.8531,1139.9769,0.0,1645.3887,866.93964,4.1228814,2694.4954,1046.7599,-2.2537615
3225,0.80523205,-10.730041,22.160528,0.03509951,-0.040682007,0.21916276,30.868078,-14.3567705,11.855214,-18.133982,26.997559,0.0,0.0,1.5381182,-3.8268042,2.682927,406.09048,1062.9164,0.9695093,1504.8892,723.1162,-1.2659645,2644.0764,785.57904,-11.859901
3226,0.42057475,-21.924494,41.153625,0.053309757,-0.04169401,0.11704209,48.188,18.422388,-6.4368553,-27.585108,32.08605,0.0,0.0,3.8074105,4.790689,41.03349,530.2028,1735.3104,0.0,1462.41,1514.8832,-16.110636,3027.385,1065.4308,-32.446945
3227,0.34009132,-25.631172,39.519314,0.07652181,-0.0391782,0.11970243,43.356472,18.095087,1.8956167,-11.239472,32.02009,0.0,0.0,1.3138946,4.4783177,39.106342,777.5699,1508.6823,-19.540995,1958.9565,1278.8228,-39.048492,2933.334,1212.2958,-44.11266
3228,0.40963432,-10.05576,10.515127,0.063785106,-0.035875723,0.13561752,25.997828,9.467879,39.20484,-15.6831255,30.604422,0.0,6.0206,4.850725,9.286449,25.649223,357.60513,1207.7328,5.30888,1885.9933,1051.8849,-24.121477,2181.489,973.63086,-20.340343
3229,0.22651893,-17.521885,31.128218,0.052092243,-0.030400915,0.03426046,31.3879,6.4231734,1.2638739,-3.2740307,35.83962,0.0,2.9017808,3.4100087,1.8305382,31.802322,804.4184,1308.4391,-11.122397,1754.1484,878.292,-31.716616,3041.281,540.4779,-41.09418
3230,0.46430895,-3.0975506,10.188312,-0.00937932,-0.015546687,0.06500215,16.811806,-15.823106,12.717522,10.528363,45.987732,0.0,0.0,9.348142,3.5513947,-12.419484,468.71176,1097.7098,0.0,1452.3633,876.9746,-34.307003,2395.6917,1221.3536,-25.707535
3231,0.53844213,2.8452036,3.7004259,-0.03471534,0.012431535,0.027744137,-12.645844,11.649188,-0.99080086,23.47373,0.0,0.0,0.0,0.0,0.0,0.0,621.9423,737.4241,-139.7693,1489.4341,848.8781,-139.0515,2386.383,916.9705,-141.91698
3232,0.097992815,-9.384358,15.97071,0.05858,-0.031701647,0.0046513365,13.489804,7.5443187,-12.44165,-5.990233,61.433117,0.0,0.0,-12.634308,-4.1559763,-201.0,321.94028,1290.9326,0.0,1327.55,1012.9261,0.0,2352.6956,860.21875,0.0
3233,0.243203,-9.771515,15.234296,0.10060801,-0.03519628,0.07124786,34.445286,-12.552101,-17.073578,-2.2401612,37.625195,0.0,1.2838571,-4.8563504,8.85323,13.009087,531.2475,1481.4935,0.0,1492.8551,1367.682,5.6827064,2223.2468,1029.0233,4.6288977
