,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12
20,-548.2969,111.916534,2.0079792,4.3657084,2.7460787,1.3908426,-7.4754505,-7.1254454,-0.50412583,-1.5326301,-2.9757192,-0.8708516,-0.45618543,-0.11712757,-0.07597122,-0.005759345,-0.032895796,-0.027517015,-0.0034752546,0.02353472,0.028004358,-0.0031707427,-0.00793616,-0.0054276325,-0.0038808112,0.022789707,-0.007484486,0.007060432,-0.0014356354,-0.008610075,-0.004492337,-0.014102846,0.0041235727,3.750094e-05,-0.003540052,0.00034847873,-2.7784686e-06,0.0045455988,0.0025459628
21,-526.86237,134.91438,-7.250275,-1.7487372,-5.1030393,0.12656058,-11.468067,-9.663273,-1.2338105,-11.713798,-7.127455,-2.7769454,-1.186101,0.010023966,-0.028303819,-0.01247161,0.020556116,0.011171792,0.011520457,-0.005482116,0.0015372372,0.002992983,0.0018821734,0.0013065876,0.00181344,0.0021777537,-0.015348419,0.0006970238,0.004107647,-0.0007520414,0.0027740453,0.0040424448,0.001265764,-0.00092002435,-4.5489254e-05,-0.002825741,-0.0028815607,-0.0005548977,-0.00046993783
22,-613.06476,111.6036,14.470606,10.797944,4.1523585,6.1218395,5.642401,-1.1562299,3.999523,-1.0692638,-0.66031265,-2.715044,-0.8967077,0.12183526,0.041233428,-0.02897032,-0.05633602,-0.059044007,-0.067444675,-0.041439988,-0.030689813,-0.005553939,-0.008363722,0.002831925,-0.008240984,-0.0044030985,0.05192752,0.0020074411,-0.016395742,-0.008962932,-0.012777568,-0.0016070915,0.002138235,0.009746606,0.0051427605,0.0062223477,-0.0037890899,-0.003986234,-0.0017689457
23,-502.87872,119.551285,8.057121,-3.9562554,-0.6103743,1.5588605,-12.512483,-13.144287,-4.8811607,-8.053895,-7.975343,-4.146458,-5.36707,-0.05232871,-0.014830562,0.018733159,0.00073150056,9.2920214e-05,-0.0151227275,0.00910322,0.03308141,0.01785133,0.0077265687,0.0047795097,0.006475171,-0.00090862176,-0.00042500507,-0.008425399,-0.006827834,0.0006185616,-0.000994684,0.0012408181,0.0005989384,0.0036029192,0.0060899067,0.0013472472,6.326235e-06,-9.2256974e-05,-0.0018752848
24,-533.9206,125.42516,-6.9892106,8.30684,-4.219884,1.802541,-6.6743903,-7.445171,-0.54685044,-12.750323,-5.997554,-3.6198695,-1.0753012,-0.037782848,0.034964684,0.015159093,-0.039890245,0.011143101,-0.0011628834,0.0015393612,0.005029095,0.005346248,0.0009816263,-0.007279929,0.00011417258,0.0009901837,-0.01871895,0.015044793,0.0028735125,-0.016033046,0.0056502107,-0.004328634,-0.0036584686,0.00055503,-0.004481299,-0.0048642983,-0.0053156833,0.0016649906,0.005060384
25,-533.19855,131.07683,-11.245217,6.13185,2.7802565,1.89382,-11.68533,-11.610558,1.5932474,-10.797004,-5.6202927,-2.665289,-1.7128356,-0.017198784,-0.011722276,-0.007265293,-0.026123852,-0.017828047,-0.00042682866,-0.00093013,0.0033174139,0.008363213,0.010975162,0.012423565,0.0075661703,0.008516449,-0.049620286,-0.03255608,0.007433069,0.014537911,0.008681638,0.004422551,0.011990727,0.015253515,0.0045346767,0.00027224142,0.0014949469,0.002280077,0.0015756392
26,-537.6548,138.18483,-7.0781074,-0.100797646,3.017276,4.4085116,-12.588547,-13.192334,-2.1201901,-11.58073,-4.2159014,-3.0105593,-2.94089,-0.032991655,-0.033464942,0.004353442,0.030690394,0.04365218,0.032024868,0.010649674,-0.0076917945,-0.014424569,-0.0023552224,-0.0013637533,-0.0021013436,-0.0013958625,-0.041460853,-0.031176133,-0.007401179,0.006380035,0.014825566,0.011898307,0.007714247,0.010945267,0.0132308435,0.012329211,0.007407346,0.008334828,0.005926644
27,-545.7722,121.96048,-4.068061,5.4899845,-2.4058192,3.715077,-7.236708,-7.399792,0.18185127,-8.822199,-3.6221578,-3.1329873,-1.4097394,-0.023131067,0.022287413,0.027698178,-0.018979225,-0.011440493,-3.6883182e-05,0.009951795,-0.0077739945,-0.008654468,0.0022968135,0.0028977974,0.0022508467,-0.0028584371,-0.050345223,-0.0022669157,0.0042476803,-0.009713576,0.0021857237,-0.004262624,0.008174358,0.0030307528,0.006761056,0.00096977584,-0.0015182734,-0.0024954418,-0.0026829136
28,-565.6887,113.946686,-5.183311,3.524883,-2.2855299,2.1882966,-6.7609186,-11.098702,-0.31939194,-5.974584,-2.9568691,-3.1832435,-0.07585652,-0.032280557,0.001673621,3.460926e-05,-0.01467141,0.009474613,-0.005110437,0.0047093458,0.008154211,-0.002445268,-0.0030496973,0.0031817476,0.00047763795,0.0055035446,-0.036950596,-0.012486175,-0.004738596,0.0026509145,0.017693946,0.0059193345,0.0075348723,0.002252163,0.009134679,0.0016903336,-0.002870017,0.004208781,0.0050618174
29,-534.56836,113.84804,-7.0368023,-4.3355455,-2.60139,-1.4257953,-13.482832,-12.492236,-5.593328,-8.702878,-4.337376,-1.1228607,-1.3743606,-0.13083547,-0.057773024,0.020376066,0.011579177,0.017013818,0.002351984,0.0026589374,-0.009659703,-0.012359689,0.014978125,0.010498689,0.0038083494,0.002719787,-0.005992786,-0.012471,0.0024513106,-0.0037408061,0.0034421047,0.0052140155,0.005987663,0.009629463,0.009511889,0.005004703,-0.003130602,-0.0038426865,-0.00032160158
30,-597.6362,106.21727,13.090217,18.834831,4.9208283,3.3493392,3.6924243,-2.346551,2.6199546,-4.79879,-2.8876092,-4.156203,-1.6144395,-0.037219577,-6.5552e-05,0.03640443,0.023201317,0.026342424,0.021556644,0.006518982,-0.002972757,0.0018349764,0.0039184545,0.0139593985,0.016592907,0.008787172,-0.046250053,-0.024043776,-0.006848517,-0.004303719,0.0058779926,0.009939222,0.004185509,-0.002532745,-0.00042648482,-0.0016132555,-0.0029377188,0.0025875983,0.0035554427
31,-572.0572,121.15351,5.9658766,5.83749,-1.5697306,2.6726933,-4.5543733,-7.256811,1.9099721,-4.2492423,-3.0189385,-1.4990388,1.3006426,0.0078049987,-0.0019542254,-0.008176002,-0.007178512,0.0005737452,0.003009666,0.00240224,0.0054020784,0.0047723446,-0.0018480631,-0.0020266522,0.0040879273,0.0040814145,-0.03156593,-0.020319013,-0.006224039,-0.0032844672,-0.005918718,0.0025309685,0.005446347,0.0042467066,0.0066161584,0.009249396,0.006557478,0.0015108892,-0.002671456
32,-545.6983,116.35556,-4.409217,8.084828,1.0303292,2.6177623,-2.496209,-5.629593,-1.86852,-6.2469835,-3.2584863,-2.959069,-3.9997962,0.03823674,0.014440173,-0.023553755,-0.021143926,-0.02977797,-0.02876021,-0.013041126,-0.0066329567,-0.00039441878,-0.0013960091,0.008747661,0.020714173,-0.0040300535,-0.018023787,-0.017459804,-0.009585968,-0.0020433604,-0.004596078,-0.009053264,-0.00062102097,0.00023512165,-0.0010843149,0.002445535,0.0017049882,0.0046579936,0.0050038295
