,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12
0,-414.04163,170.05284,-44.28806,2.8186567,-17.212908,-7.2492604,-23.299381,-11.751917,-6.3269362,-20.274364,-0.8241406,-7.6030927,-9.368867,-0.005744489,-0.006870096,0.000931146,0.0014409947,0.0018311795,0.0025851591,0.0014002472,-3.1869735e-05,0.00064526603,0.0011012846,-0.0013883362,0.001810589,0.001154198
1,-404.9211,174.32416,-47.395462,-2.5858262,-11.647084,-11.185977,-23.234056,-9.568897,-3.3369474,-19.455006,-0.44288707,-3.219473,-8.365814,-0.005301895,0.001711019,0.0036564453,-0.0018809139,6.868096e-05,0.000851745,-0.00030475686,-0.006594434,-0.0035555002,-0.00073778763,-0.003390917,0.0009568233,-0.0040339157
2,-421.39822,180.13579,-52.897575,1.287973,-17.491518,-4.0733223,-26.41107,-11.878066,-5.349276,-21.92161,-0.6703287,-6.425015,-9.014795,-0.0032955024,-0.00533842,0.0028893156,0.00072412647,0.0029648123,0.00026766222,-0.0008007328,0.0017837659,0.0028654465,0.0037095384,0.00021032075,-0.00069834874,-1.6428228e-05
3,-406.272,173.42627,-45.04759,-6.5328684,-10.707495,-8.2210245,-24.61372,-14.198612,-4.490995,-21.23025,-2.3039215,-3.972385,-9.739071,-0.011651163,0.00092423963,0.0032166033,-0.004303145,3.2833266e-06,-0.0006498889,0.0035718256,0.0007963144,0.0001430846,-0.00017631709,0.0010227438,0.001753927,-0.0007796687
4,-414.9706,183.5441,-54.353554,2.516605,-19.092443,-2.51309,-27.990507,-11.731023,-4.9319515,-22.180584,-2.679872,-6.133412,-7.6418905,-0.0026914163,-0.005649074,0.009044992,0.0012785256,0.0057143704,0.00025556807,0.0011827894,-0.0025252555,-0.00015525473,0.0035195875,8.3624625e-05,0.0015840912,-0.00075638347
5,-409.36496,168.49608,-47.14349,0.40225494,-15.217573,-8.078374,-24.646957,-10.649069,-5.740519,-20.796904,0.52400446,-6.6235194,-9.167744,-0.004580923,-0.0051391874,-0.00032527884,0.001903327,0.0031941552,0.0016143067,0.0006118764,0.00084037374,0.0020002956,0.0038115454,0.0004936886,0.00052097655,-0.0003437475
6,-420.2772,172.96346,-48.09561,2.0686486,-15.396071,-5.639527,-24.63476,-13.117136,-5.658428,-21.268944,-0.83843917,-6.290451,-9.227179,-0.009254584,-0.008107408,0.0016830936,0.0041217147,0.0018879655,0.004396432,0.006011683,0.0014564756,-0.00025927823,0.0022971826,0.0017741584,-0.00079740956,-0.0033902454
7,-419.423,182.09364,-54.087955,3.9174871,-16.938484,-2.1144292,-27.064314,-12.637427,-4.713213,-21.16767,-1.9722587,-5.3024254,-7.272064,-0.00047998247,-0.0011357492,0.0038944369,-0.00036954897,0.0013057456,0.00057145575,-0.0010992803,0.0005759201,0.0024217975,0.002466352,-0.0008326651,-0.0005795683,-0.0016308515
8,-402.96735,177.0601,-49.363262,-2.4698675,-11.528977,-8.090935,-24.931198,-12.098263,-2.804062,-18.976887,-1.1813654,-4.132546,-8.402431,-0.0032282448,-0.00025853212,0.0012606741,-0.00096807483,-0.00038142808,-0.00083540374,-2.6451617e-05,-5.6072582e-05,0.00029130105,0.0014198879,0.00028698615,0.0005911468,0.00016030064
9,-417.8947,173.74643,-51.35902,6.549662,-17.943419,-4.672938,-26.341932,-11.0766535,-6.1673365,-20.917526,-0.24070215,-8.640254,-8.222017,-0.000796423,-0.0059529403,0.006314758,-0.003655692,-0.00025383363,0.00064715167,0.00089405343,0.0013488458,0.00027773203,0.001028989,-0.0035887554,-0.0015801706,-0.0032045874
10,-405.86722,173.14867,-40.634613,-7.664817,-7.553957,-8.115372,-23.325825,-15.040363,-3.1276855,-19.909624,-4.307331,-2.8070385,-9.727956,-0.009065603,-0.0055985907,0.0060179466,-0.00028256112,0.0025372796,0.0060186293,-0.0012762609,-0.0024157108,-0.0027377398,0.0014666902,0.0013911263,-0.0025048822,-0.0029484434
11,-399.9441,167.72769,-39.599194,-8.247195,-8.096518,-10.816106,-23.868889,-14.9314575,-5.114229,-20.594185,-3.924797,-3.7289715,-10.724949,-0.0064030206,0.00430752,0.00457827,-0.0025899794,0.0009032396,-0.00092007034,0.0028079054,0.0012477908,0.000104903746,0.00073038274,0.00044556163,0.0032380726,0.0022225173
12,-415.86346,182.69656,-47.193275,4.9310846,-14.393107,-2.4743896,-25.090841,-11.570195,-3.4956903,-18.31456,-1.0206773,-4.045544,-6.534567,-0.0099618975,-0.0051067313,0.0037174937,-0.0033900565,-0.003833593,-0.002298675,-0.0010515219,0.0012630482,0.00033562232,0.0022170988,0.002929792,0.0028969191,0.00044394252
13,-417.19104,174.77025,-49.238895,-0.995037,-16.010302,-6.9229083,-24.293123,-12.726138,-4.1979685,-20.544857,-1.5870605,-5.6878824,-8.68171,0.0014952659,-0.0016965884,0.00023568049,0.00037336405,0.000979063,0.001329448,1.1987054e-05,0.0014306958,0.0005874339,0.0017975937,0.0029644798,0.0017160677,-0.00033679148
14,-425.11142,192.42361,-55.96881,8.160552,-16.395674,0.16942477,-28.937069,-9.015399,-3.5673008,-17.699932,0.6297523,-3.907693,-5.4380054,0.00049656775,-0.0011917937,0.002394074,-0.0025988617,-2.8243343e-05,-0.0011517437,0.0021141688,0.0030289479,0.0024838196,0.0016441096,-4.3465603e-05,0.0014625825,0.000645569
15,-411.3203,181.9284,-48.62398,1.9717041,-10.25478,-7.03003,-24.846594,-10.222861,-1.7087475,-17.741987,0.32106286,-2.8467932,-6.8284135,-0.0006952977,-0.00073803763,0.0017548806,0.0015025209,9.185441e-05,0.0013532244,0.00046614156,0.0009083428,0.002833611,0.0010749144,0.00090928335,0.0023203387,0.00017676727
16,-413.0681,166.40959,-42.596054,-4.9545436,-14.596229,-11.006705,-21.916458,-11.761974,-5.2244415,-19.751192,0.010146525,-5.185512,-9.72485,-0.015020851,-0.0043276777,0.0063963407,-0.0041313875,-0.0033908929,0.0005945489,0.0012428946,0.0033711994,0.001053454,-0.00081214576,0.001956326,0.00039240546,-0.0018190411
17,-418.3587,178.8906,-52.13365,0.40260935,-18.957802,-4.2575736,-24.978128,-11.183357,-5.166934,-21.481201,-0.90763336,-6.146983,-7.9569554,-0.0047349846,-0.0022707745,0.0033754962,0.0014295653,0.0040812865,0.00264069,0.00015810209,0.0022286563,0.0035977156,0.00376286,0.0003898302,-0.0008905389,-0.0015705875
18,-422.6507,182.59167,-52.213814,7.3656297,-18.204716,0.60892576,-25.464771,-6.9654064,-4.601657,-16.04042,0.6647867,-3.1180863,-6.334184,0.00028516309,1.8005907e-05,0.000559507,-0.00015736204,0.000144756,-0.0005581764,0.00018167708,-0.00042761696,0.0002159724,3.2993543e-05,-0.00022847547,0.00029990316,0.00031451686
19,-409.3905,164.91734,-41.389458,-1.1491908,-11.827648,-7.985062,-19.915295,-10.581989,-4.7548423,-17.107944,0.8340405,-5.1965723,-8.244204,-0.00018983138,0.0012075527,0.00093507033,-0.0042397035,0.0022971765,0.0005848901,0.00022161333,-0.0009190824,-0.0023820975,0.0006941075,0.0006874075,0.0026802183,0.0025232611
20,-408.14227,179.44415,-44.847225,2.863463,-15.136331,-4.7640653,-23.164146,-9.71949,-4.192157,-18.39106,-0.45464942,-4.6179047,-6.8228054,-0.0044470904,-0.0009668792,0.0006587752,0.00017163536,0.0017794213,-0.00023616888,0.00023778717,-4.4332446e-05,0.00041737602,0.00024340341,0.0009648797,0.00026890158,-0.0001835045
