,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
395,0.17727853,-3.9876282,23.482544,0.10869681,-0.0076136724,0.02090268,34.145874,-10.4845705,4.5910745,-0.37517646,36.815964,0.0,3.2304134,6.115744,6.036638,28.781921,310.30698,1464.9303,0.0,1333.4113,894.67633,-18.135042,2419.9075,1864.2179,-31.230711
396,0.41777322,10.259757,6.752814,0.08507982,0.021650136,0.11586109,13.253544,-55.6766,-1.3277732,-8.746264,36.451595,0.0,0.0,-2.1775079,-13.304856,-2.672926,1163.8057,1361.1576,34.1142,1850.049,1281.3196,21.449266,3015.7305,744.0175,12.530652
397,0.11401415,-23.92692,40.89225,0.0827955,-0.018439623,0.008362624,40.923615,15.763631,5.5751777,-3.1449964,34.68572,0.0,1.1300731,0.71853685,5.8919964,25.319029,228.89604,2027.3068,0.0,1120.2213,1458.9971,-17.976486,2336.3694,1462.9818,-27.124903
398,1.1111898,4.0861106,9.608651,0.16793978,0.0032456592,0.27617756,13.038383,-57.740845,-2.6431954,-46.401814,36.76739,0.0,0.0,2.9436533,-6.002952,3.292237,1021.9407,1030.3031,21.673061,2202.8564,1856.4697,10.2258,2902.3457,1298.9865,5.0570874
399,0.31827018,-8.69032,35.689075,0.096355885,-0.02054351,0.0650756,42.455105,-0.45006108,-24.944593,-30.17106,32.064434,0.0,0.0,0.49678025,6.19047,11.738956,422.94186,1344.3063,-7.107779,1293.2789,973.83545,3.2236564,2657.027,961.0616,-19.06396
400,0.2601157,-4.6385407,18.394148,0.09627583,-0.002583401,0.023793042,29.499712,-7.182734,14.095337,-16.98763,33.06809,0.0,2.6719,-0.44773516,7.119648,22.465704,195.88887,1457.399,0.0,1173.1708,755.81885,-4.4648137,2486.1052,285.30478,-21.922052
401,0.13966067,-13.826779,21.193993,0.13018581,-0.011751376,0.024698945,27.325144,-7.4345384,5.8789268,-27.128265,43.106228,0.0,1.8821588,13.397149,19.282389,26.601282,941.37946,1270.3436,-20.872501,2059.4265,914.9527,-30.30184,3340.8684,1272.9967,-29.069773
402,0.048805565,-18.984062,27.964289,0.11710623,-0.010478626,0.003152204,25.509607,17.358154,10.195049,-7.3397183,0.0,0.0,0.0,0.0,0.0,0.0,357.11203,1201.3665,-201.0,1362.6471,934.8179,-201.0,2537.169,523.0564,-201.0
403,1.0143818,2.095246,12.051632,0.14144589,0.006930878,0.17064655,21.973381,-58.060272,-0.4057881,-29.820288,38.917118,0.0,0.0,-1.9230899,-7.6628394,5.1953816,237.7398,1179.183,0.0,1431.1885,988.6397,9.329469,2647.0637,1093.5503,-2.7376592
404,0.2420824,-9.933571,18.71625,0.1293183,-0.015442739,0.05432534,7.2712197,13.933522,-13.15245,-25.273031,34.172626,0.0,2.6190512,2.9319446,-12.746385,-2.906824,840.03436,1047.087,34.443806,2024.4769,318.58887,9.438036,2843.6165,785.30304,6.2637467
