,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12
0,-414.01816,170.30139,-44.29925,2.8848436,-17.458796,-7.178707,-23.225641,-11.728618,-6.2917104,-20.19402,-0.814042,-7.526046,-9.464102,-0.0037958368,-0.004385222,-0.006776986,-0.004594464,0.0074619623,0.0049604047,-0.00033479065,-0.003249553,-0.0056239073,0.0015189396,0.0048381207,6.233138e-05,-7.791983e-05
1,-403.44876,175.76578,-42.028652,-1.0250342,-11.625436,-7.0890665,-23.218666,-14.850578,-3.9357216,-20.135876,-4.011385,-6.042132,-10.010744,0.010665765,0.010584062,-0.0063514537,-0.0031092493,0.0059931995,-0.0034234212,-0.0004803151,-0.002384944,-0.00034052657,0.005895654,0.00015316828,0.0020179115,0.0003927273
2,-409.86185,174.45647,-46.06875,-6.041802,-12.453536,-8.259592,-23.748062,-13.878106,-4.158163,-21.03197,-3.2120762,-4.162135,-8.940866,0.017453838,0.004726036,0.00082508096,0.00589209,-0.0011860896,0.0068808487,-0.0017687401,-0.00793454,-0.0015202794,-0.0030258785,-0.0021666193,0.0011649466,0.0021334097
3,-416.5353,179.69928,-53.59841,4.174661,-18.032694,-6.268158,-26.23488,-7.6389503,-4.490555,-20.39203,1.5555857,-5.842172,-7.8915863,0.011608706,0.0014793418,-0.0015846251,-0.0022407158,-0.0011597993,-4.8421774e-05,0.0023966697,0.0019702755,-0.0026412322,-0.006269309,-0.006443485,0.0011224026,0.002403994
4,-410.861,172.38747,-44.33967,-5.401168,-11.4672,-8.119421,-24.23277,-14.393635,-4.671265,-20.556454,-1.9923879,-4.228919,-9.5579605,-0.008723286,0.0031745443,0.007630551,-0.0015577375,0.0029382897,0.004822445,0.0008885681,-0.0023901972,0.0012460727,-0.0017736809,-0.0025745658,-0.0005294091,-0.0039006353
5,-423.02338,178.32115,-53.217815,6.06622,-21.05073,-2.4821746,-27.02062,-11.125528,-6.0654817,-20.783083,-1.020765,-7.6089907,-7.8513274,-0.0012639605,0.0007588538,-0.009428124,0.0042105117,0.005401967,0.0009961448,0.009709753,-0.0019726884,0.006945455,0.0012726707,-0.00311832,0.0025805593,-0.007111731
6,-404.14304,177.16887,-48.195667,-3.9393034,-10.589955,-4.9842815,-26.20148,-13.811246,-3.5688717,-22.0992,-2.687191,-3.1821263,-8.72657,0.011101533,0.01144934,0.0036639797,-0.0024303054,0.00032861,0.001953511,0.0010614963,-0.0018075153,-0.0063025765,-0.0038073582,-0.0069104363,-0.0002736642,0.0026092692
7,-412.25662,178.53679,-50.123123,-0.8305232,-14.416029,-5.1660028,-26.321854,-13.366864,-4.0739756,-22.057434,-2.405055,-5.1223893,-8.77115,-0.00861692,-0.0049393834,-0.0038283924,0.0068658236,0.006157758,-0.004853265,-0.00017900566,-0.0034049908,-0.005702735,-0.0044924733,-0.00019591827,0.0045337225,0.0010245868
8,-419.6135,185.77171,-51.346973,6.9709296,-11.425643,-3.7080207,-24.750341,-9.396993,-1.8243722,-16.61353,1.9051254,-1.9183724,-5.2001176,-0.0027498929,-0.006732487,-0.00060692,0.0026493103,-0.0025004344,0.00013112956,0.0051715937,0.00337657,-0.0021721907,0.00018954392,-0.002554152,0.00011822262,0.0020516317
9,-402.96735,177.0601,-49.363262,-2.4698675,-11.528977,-8.090935,-24.931198,-12.098263,-2.804062,-18.976887,-1.1813654,-4.132546,-8.402431,0.00049512746,-0.001123349,0.0020928213,0.0019837245,-0.0011489105,0.0013825154,0.00058563414,3.6983223e-05,-0.000760254,-0.00170338,-0.0006708234,0.00012696881,-0.00033791532
10,-413.9557,186.36273,-50.400646,6.423868,-10.374121,-5.3814125,-26.056692,-10.126117,-1.572706,-17.0623,1.0831618,-3.6535518,-5.6567845,-0.006379648,0.0030014778,0.0070614167,0.0037253224,0.00019236757,0.0035083585,0.014155841,0.0098976735,0.0076604434,0.004491721,0.0052235373,0.008568882,0.00094333396
11,-405.74084,165.71675,-43.468502,-2.5346708,-13.547975,-11.130189,-22.184742,-10.805236,-5.2207394,-20.24682,-0.440178,-5.5359097,-9.279646,-0.011784465,-0.003263816,0.003951282,0.008007541,0.008857384,-0.0014297813,0.0033704569,-0.00074391067,-0.004394758,0.0018906656,0.0010757723,-0.0012227313,-0.003908454
12,-399.84952,170.71248,-38.525383,-9.729287,-5.771266,-9.960386,-24.554184,-15.620042,-4.1527004,-20.522558,-5.136576,-2.2326553,-10.39065,-0.0001019885,-0.0062126955,-0.004395952,0.0035682304,0.0041114828,0.00078851497,-0.0046010357,-0.0053547723,-0.004411087,-0.0016074474,-0.00085216895,0.0014566911,0.0026180875
13,-416.32404,183.82576,-48.009136,1.8216343,-14.404363,-1.2229302,-26.921312,-13.433852,-3.671883,-20.534767,-3.1650715,-4.9473877,-7.7467422,-0.021383796,-0.015636044,0.011313263,0.014900186,0.00015317462,0.0046375263,0.010458585,0.0023797937,0.0066911844,0.005929457,0.0031450326,-0.0039516343,-0.01225775
14,-417.31094,172.24846,-49.30256,0.33843136,-16.7997,-7.330109,-24.25437,-11.080147,-5.4565616,-20.908976,0.114602625,-6.796944,-8.955534,0.0011454129,0.0008431771,-0.0015292683,0.00033767108,0.0019496657,0.0058942465,0.007488914,-0.0010380051,-0.00096289045,0.003915395,0.0015282668,0.00013284262,-0.0009164939
15,-422.92783,190.47144,-57.883797,5.0834417,-18.606909,1.9003015,-29.844698,-11.899352,-4.1277437,-21.195919,-2.596097,-5.0279427,-6.6406856,0.0036773756,0.0009847642,0.00542996,0.0044829384,-0.003731245,0.00244273,0.004131294,-0.001959617,-0.0019260271,-0.002660942,-0.00572619,0.0012959087,-0.00015426724
16,-412.30487,180.8368,-48.676777,-0.75772834,-12.061484,-4.0127583,-26.037724,-13.520218,-2.7420857,-19.998446,-2.0023062,-4.3687587,-8.207585,-0.013259055,-0.0035886453,0.0036399039,0.0047666384,0.00940829,0.0013945138,0.0018994325,0.00278945,0.00050767895,-0.0031304015,-0.0042482186,-0.0006970287,-0.0006188417
17,-411.12967,174.14017,-42.025486,-8.968827,-11.141612,-8.956658,-23.60766,-14.53708,-3.4829724,-19.865705,-3.1206849,-2.8177447,-9.397209,0.0015089305,-0.008778124,-0.0016519603,0.003436771,-0.0002426497,0.007872629,0.0064056986,0.0034476288,0.0025016959,0.0041180993,0.0020133979,0.0029977371,0.001237188
18,-424.30658,176.22643,-49.02493,1.7250503,-19.246414,-5.1855817,-23.767918,-11.662588,-5.464844,-20.288208,-0.9431204,-6.5719585,-8.024125,-0.0019523165,0.0086914105,0.0008923428,-0.0066193575,0.0004717708,-0.0004906281,0.000957974,-0.0032394344,0.009001122,0.006005146,-0.0026678415,0.0017677523,-0.0048759347
19,-421.02866,182.2739,-52.198563,7.003086,-18.129175,0.023384662,-25.38251,-6.709627,-4.263069,-16.491077,1.1160072,-3.622303,-6.1756496,-0.0009136426,0.00011055472,0.00084915024,0.0014696815,0.0010018408,0.0025938272,0.0017823264,0.00032530157,-0.00032249637,-0.00021641732,0.00021871545,-7.0092276e-05,-8.65561e-08
20,-408.89862,174.86314,-39.324234,-2.4146988,-4.1309214,-7.7380714,-20.080914,-10.66183,-1.3479003,-13.790717,1.0730469,-0.089759745,-6.2514668,-0.009740362,-0.007955395,-0.010869266,-0.011220084,1.825656e-05,-0.0050351927,-0.0055949627,-0.0017817132,-0.005303233,0.0002675754,0.0022303765,-0.0030099277,-0.0034777205
21,-408.48068,178.38135,-45.025173,0.43787646,-15.680186,-3.8009338,-23.482002,-12.139007,-4.61061,-20.172817,-2.194706,-5.2396483,-7.610589,-0.0039808485,-0.0027540713,0.0009995203,0.004986153,0.0003700176,0.00400527,-0.0017851983,-0.0012212265,0.002167391,0.001738333,0.00012657793,-0.0003813258,0.00021001772
22,-422.27463,188.74834,-56.105625,6.150662,-16.21824,3.1215866,-27.34641,-8.348489,-3.9148088,-18.319252,-2.018266,-2.1884222,-7.4521046,0.0108050965,-0.001661047,-0.011383284,0.0039894106,-0.0039983965,-0.00356309,-0.0017715688,-0.008012447,-0.0048972773,-0.006339163,-0.0053976728,-0.0037538027,9.64871e-05
23,-390.5307,161.15166,-31.586765,-6.5773816,-7.3983526,-11.098583,-19.027966,-12.766766,-5.9413514,-17.386053,-3.428069,-3.8816457,-10.229625,-0.0012184245,0.0031866939,0.002638771,-0.00094958313,0.00044931777,-0.0030089968,0.00031954603,0.00587423,0.0005426513,-0.0024934793,0.001567763,0.0027169283,0.0008945769
24,-410.72766,177.03354,-47.572918,2.9738328,-15.625504,-2.5673482,-23.390501,-12.259025,-3.9943833,-19.799908,-2.6214356,-4.8736396,-6.8631725,-0.0013142499,0.006461701,0.007435808,0.0062774564,0.0071257665,-0.0009150252,-0.003101581,-0.0037473976,-0.00013024356,-0.0022574926,-0.0048073307,-0.00065468193,-0.0023872023
25,-411.73157,176.37929,-49.5807,7.4683466,-17.72899,-3.0608103,-24.033848,-9.3927765,-5.715995,-19.088732,0.056314353,-6.4957523,-7.1626596,-0.0010149553,-0.0013585418,-0.010558309,0.0009955061,0.008267661,-0.004097045,0.0021825498,-0.0018644005,0.00032658383,0.004487733,-0.0014555951,0.00033068302,-0.00019915964
26,-416.57483,187.07065,-49.124886,3.9526472,-15.454006,2.736242,-27.484522,-11.728375,-5.0409884,-19.260246,-1.9902798,-4.357178,-7.367326,0.017558621,-0.000629779,-0.005362138,0.006110216,0.00061870844,0.005568424,-0.0047870344,-0.00948605,-0.003638975,-0.0030028606,0.002185177,0.0040941443,0.005308573
27,-411.57462,179.66318,-46.723434,-0.9751497,-12.937803,-2.1451447,-24.489906,-12.712191,-3.0527227,-19.89759,-2.5902278,-3.935351,-7.467642,0.0034652813,0.0023431398,0.006096473,0.003262447,-0.0015450596,0.0039256155,0.0011019418,-0.0035550587,-0.0047214497,-0.0036000544,-0.0017909345,-0.0014361723,-0.0023901174
28,-416.83453,182.30313,-50.87085,2.4287083,-15.219844,-0.4010771,-26.123823,-11.982132,-3.4501526,-18.318398,-1.255229,-4.219322,-7.1885977,-0.0018469065,0.0019540654,-0.0043622553,-0.00067062106,-0.0029770639,0.0018499477,-0.003926006,0.00035289177,-0.0011487611,-0.0016998696,0.005072953,0.0037652303,0.00739979
29,-404.78717,171.07236,-42.885094,-6.4466214,-10.413509,-7.246222,-22.644947,-14.866217,-4.320399,-19.981277,-3.136892,-2.948904,-8.332543,-0.010359084,-0.005507521,-0.0032542052,0.0003206051,-0.0006397554,-0.005148238,0.00065930345,-0.0016679212,-0.004365568,-0.0006573165,-5.290091e-05,-0.0022542079,-0.001420254
30,-420.46777,185.85703,-49.27378,4.1797743,-7.9442725,-3.7508223,-22.182302,-6.9891634,0.43908143,-14.817797,2.1674843,-0.9492623,-4.933335,0.018852746,0.0025243193,0.0039049124,0.006481334,-0.009962814,0.0017402584,0.0047918395,0.0033546383,-0.000116955685,0.007907923,0.0079013435,0.0012721933,0.003969103
31,-420.56262,186.29973,-51.6772,5.872696,-16.179462,1.7565122,-26.564137,-8.494978,-3.917063,-16.445124,-0.8085734,-2.169079,-6.0451646,-0.0022266796,-0.004975089,-0.003985856,0.005273946,-0.00086496474,0.0033982836,0.00059366424,0.0013863422,-0.000545597,-0.0044496977,-0.003082344,0.0004220325,0.0025320856
32,-410.38837,178.83754,-42.91234,3.5813048,-10.426509,-2.3607929,-20.75609,-11.125492,-3.0542872,-16.300919,-0.5822777,-3.1636326,-6.463639,0.016518056,0.011749762,0.0041107154,-0.0019367952,-0.010665369,-0.002294594,0.0085806595,0.009508182,0.004790863,0.0031961245,0.002432082,0.00043930346,-0.0035746582
33,-405.3594,178.41367,-48.66059,8.616139,-18.39794,-3.0914497,-24.25766,-7.1598406,-4.647103,-19.06535,0.6667415,-7.3735933,-8.464803,-0.0020289202,0.001300778,-0.012781401,0.0009917857,0.009907945,-0.009979602,0.011404576,0.0030330238,-0.0010303216,0.004325396,-0.0029953877,-0.003011768,-0.0046312995
34,-419.47818,186.75087,-55.05979,4.794514,-15.865582,2.2015455,-25.946777,-8.782167,-3.772991,-18.557701,-1.393394,-2.5105824,-6.3663526,0.010353335,0.00062476523,-0.0098699415,0.0106859645,0.0063816505,0.0031171907,0.0015171885,-0.0072117946,-0.009117048,-0.0044446797,-0.0036023147,-0.006468543,-0.00045824138
35,-382.17404,148.97264,-22.255997,-18.250996,-0.15505281,-11.810126,-20.481089,-12.261314,-7.505861,-14.573793,-5.1139636,-2.1744394,-9.171842,-0.0021548055,0.0004932035,0.0011904689,-0.0004623969,0.0010420497,0.00056145043,6.730458e-05,0.00030923242,-0.000512059,-0.0013735126,-0.00037626197,-0.0007819843,-0.0015346423
36,-400.26862,171.08974,-39.69942,-3.9275205,-8.590318,-6.6905336,-20.56561,-12.8745575,-3.7830799,-17.271551,-2.0984678,-3.344075,-7.651432,-3.496306e-05,-0.0024596748,-0.0018785553,0.0014327653,0.0005447224,-0.00013810351,-1.6850527e-05,-0.0001123545,0.00028757667,0.0003366871,0.00037346943,5.9102214e-05,-0.0005204888
37,-415.4429,186.02722,-51.254276,6.049239,-15.485408,2.2453938,-25.772217,-9.699905,-4.5418653,-17.376574,-0.46997386,-3.8473027,-5.595736,0.0034644653,0.003191989,-0.001503107,-0.0018526497,0.0019526514,-0.002109789,-0.00073869043,0.0017574859,0.0008963508,0.00035809472,-0.00016045546,0.0007148554,0.0011179523
38,-411.08405,183.0099,-48.19436,0.73642606,-15.152522,-1.5496478,-23.96406,-11.366086,-4.0389557,-19.232138,-1.5693748,-4.154533,-6.0038986,-0.0012424903,0.00019338114,0.00032365142,0.0026181312,-0.0033038843,-0.004871977,-0.0015260234,0.00031557496,0.0013716383,-0.0010376095,0.000326683,0.0025278013,-0.0012087954
39,-401.80063,168.79971,-35.061737,-7.11555,-5.683333,-7.992958,-19.413982,-12.125192,-3.672219,-17.083994,-1.8461344,-2.1807673,-8.725378,-0.0012133814,-0.00045302065,-1.7820019e-05,0.0002752496,0.00078801904,0.00066963315,0.0006756231,-0.00055436906,7.633325e-06,0.0006572272,0.00044419762,0.00027969328,-0.00016269104
40,-426.49203,174.33192,-52.978092,8.510498,-21.548607,-1.1496465,-25.866915,-6.471847,-7.315401,-17.785383,0.93252456,-7.247975,-7.681478,-0.0086598,0.004168649,0.0025414436,0.0034770593,0.0040368666,0.0010428394,0.002882255,-0.0015293714,-0.00671318,0.0020506587,0.005355654,0.00090125814,0.0006809712
41,-397.7413,172.45753,-37.64294,-8.398791,-5.4074836,-6.3376412,-21.013212,-14.296872,-4.601525,-18.54853,-4.618225,-3.1431804,-9.492041,-0.009389453,-0.003287952,-6.563253e-05,0.0040110326,0.006751867,-0.0028863242,-0.000857535,0.00798759,0.0047395267,-0.00060392654,-0.00040051306,-0.0016630208,0.00035067627
42,-400.38196,158.09903,-25.701946,-8.999418,-3.8479865,-9.353466,-17.729828,-13.307706,-6.70174,-15.418778,-1.9169165,-3.0855622,-10.246491,-0.01563726,0.0027641188,0.010570122,-0.0007596829,-1.8637309e-05,-0.0047372766,-0.004812458,0.00019452689,0.0054474333,-0.00829443,-0.004186383,0.0017995499,-0.002119663
43,-402.64514,165.46834,-32.97072,-7.562561,-7.285933,-8.80398,-18.10287,-12.381769,-5.8446565,-17.587463,-1.4044113,-4.916824,-11.083541,0.002017349,0.0019828964,-0.0019710294,-0.0019203641,0.0017503825,0.0009430622,0.00060814404,-0.00043322702,-0.0027519583,-0.001712841,0.0014995699,0.004042684,0.0030925947
44,-411.80743,181.99686,-46.60024,-0.56472033,-11.320007,-1.183116,-23.6214,-12.819231,-3.2557547,-18.734121,-1.8100938,-3.0046003,-6.200282,-0.003475281,-0.003269218,0.0039568893,0.00425175,-0.0074403803,0.002205954,0.0021967397,-0.0024853048,0.001237309,-0.0007844582,-0.0018419743,-0.0005588847,-0.0019012697
45,-407.74603,163.55014,-39.16902,-2.756147,-9.342643,-6.464574,-17.337421,-11.192902,-3.4874153,-15.862066,0.582971,-4.0165906,-8.484516,-0.0093159955,-0.011476604,0.0015026467,0.012868071,0.010159664,0.0044384683,-0.0024439485,-0.006013883,-0.00653573,-0.0064640734,-0.0024258667,0.0020452847,0.0012227093
46,-400.15906,171.76071,-42.50107,-2.2820408,-11.339425,-9.453573,-21.172955,-9.362097,-3.0231984,-17.89466,0.49206427,-3.781964,-8.223637,-0.007715529,-0.00295441,0.0024458063,0.006444694,0.005275529,-0.00029552146,0.004276288,-0.0015037066,-0.002373759,0.0008525813,-0.0018912617,0.0025339504,0.0004755992
47,-411.4345,178.70404,-50.038494,0.27241275,-14.820634,-2.7038848,-25.101343,-12.887223,-4.170483,-19.519655,-2.410808,-4.808311,-8.225186,0.03896151,0.0024474643,-0.015990736,-0.0003986081,0.0070179,0.0012142884,-0.0021061844,-0.0024070959,-0.008306337,-0.005834081,-0.0005063061,0.0005201873,-0.0012287255
48,-426.35406,180.86188,-52.034294,7.1009645,-18.27561,0.8170398,-26.113361,-9.380429,-5.8991823,-17.232855,-1.223115,-4.3478894,-7.2628202,0.0027821993,0.0013419389,0.00020996635,0.00056935404,0.001153488,0.0031451713,0.0015241273,-0.002047757,0.0015423205,-0.0022360445,-0.0036583508,1.3274469e-06,-0.0007054081
49,-421.76602,188.69902,-50.958897,7.2211137,-13.794079,-1.5746889,-25.40242,-7.3680744,-3.3829088,-13.832969,1.7595348,-1.6273638,-5.321117,-0.007475687,-0.00035179104,-0.0024128978,-0.00516002,0.0059089563,-0.0068607517,0.010090533,0.0031362628,0.0003380092,0.0066910894,-0.001743254,0.00076530885,0.0021145593
50,-404.51157,174.08829,-39.66171,-3.5210862,-10.346958,-10.257031,-20.96307,-10.037654,-2.6549866,-17.211279,0.2482087,-2.8751671,-8.298587,-0.0057539777,-0.0076907533,-0.00084189966,-0.0004970852,-0.0024391802,-0.0015817356,0.0011134475,0.0013803352,-0.0026135382,-0.00042247146,-0.0007768313,-0.00033807755,0.0020576725
51,-411.64996,169.14603,-37.222763,-0.8952736,-12.10907,-7.1439238,-20.067022,-11.892445,-6.5967016,-20.456818,-1.1541722,-6.052321,-9.108407,-0.0026255406,-0.0027403636,-0.0038144502,0.004361815,0.013174818,0.008124006,0.006377583,0.0012574749,-0.0064419676,-0.0026412397,0.00013975009,-0.0023709156,-0.0033446047
52,-405.52164,183.53014,-44.76943,2.5231817,-9.523939,-6.586262,-22.838488,-10.362658,-1.5537997,-17.547272,-1.2693487,-2.9367504,-6.817003,0.0012779549,0.008097096,-0.0078250095,-0.0058928966,-0.004166757,-0.0074461163,-0.0038197858,-0.0028747823,-0.0013616502,-0.0013746545,0.0017696605,-0.0007317675,0.0009231528
53,-434.79355,193.86316,-61.375153,13.077132,-20.838665,4.932818,-30.185917,-5.244173,-5.859186,-14.892485,0.47374964,-2.471669,-5.77952,0.010441276,0.009952919,0.0021723239,0.0015523584,-0.004434474,0.0022161982,0.0005736154,0.007210821,0.0018005421,-0.004930533,0.0022747964,-0.00026910764,-0.0013218566
54,-420.746,170.6922,-43.635,-0.2541737,-10.047269,-3.8810763,-19.566422,-10.747474,-1.9829115,-17.675142,0.89888674,-3.2335403,-7.712612,-0.008188884,0.0032421148,0.0026355484,-0.00044069122,0.007425379,0.0017780486,0.0008639054,-0.0016906189,0.0031952804,-0.0012290697,-0.0023162665,0.0015669416,-0.0010513111
55,-422.64557,188.87213,-58.885067,10.276951,-21.78245,4.8866186,-29.896038,-8.305439,-7.030502,-18.504131,-3.1240368,-4.396156,-7.1877007,-0.0015936872,0.001480002,4.4891138e-05,0.002742919,-0.001135309,-0.0028956148,0.0004162485,0.00072048005,-0.00048452325,0.00020357678,-0.000110982306,0.0005553595,0.0021752534
56,-421.48462,191.58084,-63.399704,10.744048,-21.215563,6.1625814,-30.812563,-7.5125895,-7.260801,-18.03613,-3.855163,-3.724685,-8.130705,0.004219679,0.00292774,-0.0037791382,0.0049023083,-7.667745e-05,0.0023539704,0.0038980308,-0.0036832604,-0.00765736,-0.006453784,-0.0029078783,-0.00527382,-0.0019454532
57,-423.7555,185.85881,-57.988926,11.30816,-20.482288,1.3399038,-28.104252,-5.083172,-5.875299,-16.539331,1.1759148,-4.15549,-6.264121,-0.0046536927,-0.0010419328,-0.0006342874,0.001250577,-0.00025606717,-0.0009192672,0.0013265698,0.002915744,-0.0005452322,-0.002789384,-0.0012143537,-0.001839878,0.0004340797
